category,region,material_cost,labour_cost,production_days,packaging_cost,artisan_experience_years,market_demand,price
Phulkari,Punjab,663.94,1472.12,9,66.26,6,medium,3996.37
Phulkari,Punjab,304.4,748.53,6,77.77,17,high,2319.83
Madhubani Painting,Bihar,393.47,706.59,6,44.36,12,medium,1919.03
Phulkari,Punjab,811.2,2329.56,15,59.72,28,medium,5919.89
Madhubani Painting,Bihar,402.58,689.72,7,70.6,1,high,2337.88
Madhubani Painting,Bihar,455.65,765.64,8,69.82,20,medium,2116.78
Madhubani Painting,Bihar,204.29,933.71,6,73.5,24,medium,2282.07
Phulkari,Punjab,571.52,978.91,6,53.3,7,high,3201.31
Bamboo Craft,Assam,270.89,122.64,1,28.56,14,medium,662.13
Phulkari,Punjab,797.25,1707.85,11,96.39,14,medium,4297.55
Madhubani Painting,Bihar,368.13,396.03,4,35.8,1,medium,1272.54
Bamboo Craft,Assam,200.94,241.05,2,21.99,23,medium,718.62
Bamboo Craft,Assam,236.4,362.33,3,27.4,19,high,1169.92
Blue Pottery,Rajasthan,204.92,399.07,3,70.64,24,high,1507.8
Phulkari,Punjab,458.54,1056.15,7,55.3,9,low,2480.83
Bamboo Craft,Assam,245.15,248.03,3,49.83,8,medium,927.15
Bamboo Craft,Assam,187.79,510.27,4,62.18,14,high,1204.02
Blue Pottery,Rajasthan,323.62,615.94,6,44.49,13,medium,1566.0
Blue Pottery,Rajasthan,418.82,370.97,3,118.82,23,medium,1563.11
Madhubani Painting,Bihar,310.03,630.36,6,51.17,22,high,1927.05
Bamboo Craft,Assam,286.69,593.93,4,58.02,14,low,1184.38
Bamboo Craft,Assam,275.32,564.21,4,62.93,17,medium,1435.04
Madhubani Painting,Bihar,430.44,755.55,5,33.13,8,high,2188.96
Phulkari,Punjab,612.82,1515.97,9,55.8,10,medium,3650.09
Blue Pottery,Rajasthan,533.64,611.91,5,98.17,16,medium,2086.0
Phulkari,Punjab,328.78,934.5,6,41.18,12,medium,2196.77
Blue Pottery,Rajasthan,355.46,846.54,6,67.83,20,high,2409.95
Phulkari,Punjab,393.43,550.03,5,88.92,18,medium,1579.02
Bamboo Craft,Assam,276.83,369.32,4,46.09,9,high,1095.96
Bamboo Craft,Assam,167.93,427.54,3,24.03,19,low,848.12
Bamboo Craft,Assam,290.31,397.91,4,67.56,3,medium,1159.88
Blue Pottery,Rajasthan,458.95,475.34,4,72.76,27,high,1816.81
Madhubani Painting,Bihar,435.76,782.89,6,32.72,13,high,2450.62
Madhubani Painting,Bihar,351.52,1256.98,9,55.06,16,medium,2847.16
Madhubani Painting,Bihar,336.72,657.13,5,64.84,19,high,1978.48
Madhubani Painting,Bihar,266.54,314.48,3,41.4,14,high,1079.84
Phulkari,Punjab,323.64,2084.7,12,81.29,9,low,3588.7
Phulkari,Punjab,465.56,1481.91,11,63.71,7,high,3322.16
Madhubani Painting,Bihar,469.63,596.26,5,80.26,16,high,2158.68
Bamboo Craft,Assam,162.59,96.02,1,53.71,20,low,433.5
Bamboo Craft,Assam,250.1,261.76,3,45.37,19,high,965.79
Phulkari,Punjab,493.11,1532.37,11,76.54,13,medium,3435.51
Blue Pottery,Rajasthan,268.33,841.97,5,77.89,24,medium,2463.19
Blue Pottery,Rajasthan,435.58,505.95,4,98.72,13,low,1734.81
Phulkari,Punjab,307.42,2201.06,15,84.62,14,high,5433.19
Madhubani Painting,Bihar,349.73,682.53,5,35.14,17,medium,1700.91
Blue Pottery,Rajasthan,272.45,398.86,3,99.27,13,high,1472.83
Phulkari,Punjab,413.14,1827.77,13,54.99,12,high,3868.93
Blue Pottery,Rajasthan,443.62,739.54,5,78.54,12,medium,2065.88
Bamboo Craft,Assam,222.57,340.58,4,24.04,12,medium,866.96
Phulkari,Punjab,463.28,2022.16,14,59.24,25,low,5603.81
Bamboo Craft,Assam,128.91,195.66,2,55.44,30,medium,638.5
Bamboo Craft,Assam,153.03,83.54,1,36.68,27,low,421.58
Madhubani Painting,Bihar,333.38,624.65,4,70.09,15,high,1601.14
Blue Pottery,Rajasthan,343.62,401.77,3,55.61,8,medium,1337.37
Blue Pottery,Rajasthan,481.88,616.82,4,107.72,26,medium,2106.86
Phulkari,Punjab,515.21,1406.08,12,92.08,14,high,3600.17
Bamboo Craft,Assam,249.84,280.96,2,33.81,16,high,886.02
Phulkari,Punjab,523.57,1228.01,10,64.05,20,medium,3604.14
Bamboo Craft,Assam,236.24,222.89,2,33.91,23,low,638.31
Blue Pottery,Rajasthan,355.53,457.62,4,100.19,15,low,1512.65
Blue Pottery,Rajasthan,542.65,924.5,7,109.88,17,medium,2424.72
Blue Pottery,Rajasthan,544.88,392.2,3,119.52,15,high,1950.58
Madhubani Painting,Bihar,481.24,883.02,6,83.08,21,medium,2232.48
Bamboo Craft,Assam,216.22,307.68,3,32.27,20,medium,874.04
Phulkari,Punjab,336.02,1290.22,9,77.79,8,medium,3037.58
Madhubani Painting,Bihar,273.3,1175.56,8,40.51,16,medium,2275.69
Bamboo Craft,Assam,113.02,287.09,3,23.43,16,low,546.04
Blue Pottery,Rajasthan,511.58,739.7,6,118.93,14,medium,2182.68
Blue Pottery,Rajasthan,221.8,389.8,3,63.56,10,low,842.39
Phulkari,Punjab,373.18,1095.49,8,98.5,15,low,3273.31
Bamboo Craft,Assam,301.78,470.14,4,68.66,8,high,1446.1
Blue Pottery,Rajasthan,350.14,931.27,6,86.24,15,medium,2366.75
Madhubani Painting,Bihar,354.3,395.35,3,45.93,4,medium,959.21
Phulkari,Punjab,637.37,2099.23,14,80.03,4,high,5287.4
Phulkari,Punjab,657.82,1403.57,10,81.21,30,medium,5086.89
Bamboo Craft,Assam,237.09,319.99,3,49.87,12,medium,1003.31
Bamboo Craft,Assam,239.07,133.38,1,48.71,19,high,679.59
Bamboo Craft,Assam,158.72,287.17,3,29.96,20,medium,783.34
Phulkari,Punjab,817.21,1417.67,12,44.05,1,medium,3018.04
Bamboo Craft,Assam,267.5,419.01,4,53.27,15,high,1186.56
Blue Pottery,Rajasthan,365.22,660.46,5,99.83,7,medium,1709.54
Bamboo Craft,Assam,242.16,122.67,1,57.0,19,low,599.24
Blue Pottery,Rajasthan,274.78,568.98,5,49.12,11,high,1481.47
Bamboo Craft,Assam,165.54,550.28,4,67.01,18,low,1205.22
Phulkari,Punjab,553.09,2100.2,14,90.93,18,low,4466.99
Blue Pottery,Rajasthan,295.03,986.75,6,111.76,27,medium,2410.51
Phulkari,Punjab,453.54,1135.78,8,98.64,14,high,3763.92
Bamboo Craft,Assam,265.3,219.52,2,47.23,5,high,677.49
Phulkari,Punjab,381.83,1823.51,11,90.97,12,medium,4812.77
Bamboo Craft,Assam,242.46,414.19,4,44.72,11,medium,1022.26
Madhubani Painting,Bihar,250.84,689.71,7,44.31,8,low,1386.83
Phulkari,Punjab,303.97,2301.77,13,90.88,10,high,5996.94
Madhubani Painting,Bihar,382.43,859.98,6,70.82,4,medium,1843.56
Bamboo Craft,Assam,335.61,127.72,1,46.85,13,low,735.37
Madhubani Painting,Bihar,414.66,856.87,7,73.15,8,low,1911.36
Phulkari,Punjab,474.81,1371.39,9,63.73,24,high,3992.41
Blue Pottery,Rajasthan,361.64,738.26,5,97.7,1,medium,1515.3
Phulkari,Punjab,644.71,1299.21,9,99.06,19,low,3430.56
Phulkari,Punjab,351.45,1829.48,12,68.28,10,medium,3595.51
Bamboo Craft,Assam,203.72,353.95,3,40.79,16,high,1076.88
Blue Pottery,Rajasthan,256.54,775.66,6,51.03,11,medium,1918.48
Bamboo Craft,Assam,349.84,349.86,4,39.07,11,medium,997.28
Blue Pottery,Rajasthan,262.16,525.88,4,65.12,19,high,1693.15
Madhubani Painting,Bihar,267.13,772.92,8,70.7,12,medium,2063.28
Blue Pottery,Rajasthan,396.69,805.25,6,46.61,26,medium,2157.32
Blue Pottery,Rajasthan,449.09,754.67,6,117.75,27,high,2689.18
Madhubani Painting,Bihar,399.09,708.88,5,49.0,15,medium,1775.0
Phulkari,Punjab,332.49,1578.31,11,72.45,7,medium,3125.87
Phulkari,Punjab,779.94,2580.43,15,50.01,22,high,8292.08
Blue Pottery,Rajasthan,491.52,1016.32,7,55.03,18,high,3534.86
Madhubani Painting,Bihar,387.41,1223.18,10,46.91,8,high,3173.69
Madhubani Painting,Bihar,196.55,786.43,8,89.57,12,high,2048.15
Phulkari,Punjab,775.07,2164.79,14,93.41,5,medium,4778.84
Madhubani Painting,Bihar,307.49,791.87,8,79.74,6,high,1767.44
Blue Pottery,Rajasthan,262.92,487.8,3,93.93,23,low,1583.28
Bamboo Craft,Assam,200.63,345.1,3,44.69,16,medium,852.31
Phulkari,Punjab,879.63,2013.96,14,54.6,8,medium,6087.39
Bamboo Craft,Assam,107.24,407.19,3,34.67,12,medium,829.97
Bamboo Craft,Assam,166.26,501.95,4,62.59,23,medium,981.82
Phulkari,Punjab,879.22,2041.79,15,96.97,6,low,4049.2
Phulkari,Punjab,803.42,2241.78,13,76.77,31,medium,6086.17
Phulkari,Punjab,398.93,1224.73,11,53.46,19,low,2824.82
Madhubani Painting,Bihar,297.13,1092.58,9,85.03,12,high,2833.29
Madhubani Painting,Bihar,324.94,402.71,3,64.5,13,low,1046.04
Phulkari,Punjab,352.51,612.3,5,55.11,26,high,2227.39
Phulkari,Punjab,771.65,1988.76,13,81.07,21,medium,5782.59
Madhubani Painting,Bihar,402.32,928.94,7,41.54,15,low,2380.37
Phulkari,Punjab,408.02,1671.51,11,73.82,26,medium,3923.57
Bamboo Craft,Assam,218.82,197.11,2,63.62,10,medium,738.24
Bamboo Craft,Assam,281.05,577.47,4,69.04,1,medium,1274.96
Bamboo Craft,Assam,120.99,358.0,4,43.08,21,low,720.06
Phulkari,Punjab,542.05,1254.84,10,52.8,11,low,3335.41
Blue Pottery,Rajasthan,305.36,697.49,5,52.09,13,medium,1841.8
Phulkari,Punjab,606.33,1224.51,8,80.44,8,high,3539.13
Madhubani Painting,Bihar,380.75,271.39,3,63.1,23,medium,1315.59
Phulkari,Punjab,538.07,1439.64,13,54.33,34,medium,4045.43
Blue Pottery,Rajasthan,329.15,618.21,5,86.23,7,medium,1691.67
Phulkari,Punjab,343.73,1467.78,10,97.42,2,low,2920.23
Bamboo Craft,Assam,221.09,355.9,3,47.17,9,low,869.24
Bamboo Craft,Assam,334.76,246.87,3,38.53,1,high,911.88
Blue Pottery,Rajasthan,555.77,758.71,7,94.46,7,high,2308.6
Madhubani Painting,Bihar,358.68,302.67,3,75.27,17,medium,1164.32
Blue Pottery,Rajasthan,240.19,423.81,3,70.72,20,low,1097.19
Phulkari,Punjab,373.9,2481.73,15,62.51,7,medium,4720.8
Madhubani Painting,Bihar,480.21,864.1,8,79.3,24,medium,2140.65
Madhubani Painting,Bihar,350.51,950.3,7,71.57,18,medium,2179.83
Madhubani Painting,Bihar,432.02,388.1,3,88.07,11,low,1188.88
Blue Pottery,Rajasthan,455.33,980.74,6,93.75,1,high,2892.55
Blue Pottery,Rajasthan,525.35,579.64,4,94.17,23,medium,2007.65
Madhubani Painting,Bihar,376.35,1492.99,10,35.55,14,medium,2990.97
Madhubani Painting,Bihar,151.81,592.42,5,86.1,20,low,1306.62
Phulkari,Punjab,873.71,1242.29,7,40.26,14,medium,3635.48
Bamboo Craft,Assam,192.22,134.45,1,28.19,11,high,627.47
Bamboo Craft,Assam,242.95,279.84,2,40.54,11,high,945.09
Phulkari,Punjab,843.38,1559.63,13,51.04,11,low,4008.9
Madhubani Painting,Bihar,264.23,1013.94,7,57.03,16,medium,2115.54
Blue Pottery,Rajasthan,402.64,1075.88,7,73.89,6,medium,2398.59
Madhubani Painting,Bihar,198.03,771.83,7,37.2,7,low,1410.57
Bamboo Craft,Assam,240.35,250.67,2,51.77,4,medium,707.18
Madhubani Painting,Bihar,257.95,1007.18,8,59.84,31,medium,2681.7
Bamboo Craft,Assam,172.03,387.63,3,42.7,8,high,861.87
Bamboo Craft,Assam,187.25,141.55,1,38.48,22,high,709.06
Bamboo Craft,Assam,165.49,474.47,4,41.38,17,high,1242.63
Madhubani Painting,Bihar,459.31,320.54,3,34.04,8,medium,1292.57
Madhubani Painting,Bihar,418.44,1199.41,9,31.82,21,medium,2444.53
Bamboo Craft,Assam,169.91,356.72,3,45.83,16,medium,897.94
Blue Pottery,Rajasthan,574.68,492.73,4,46.22,11,medium,2128.76
Blue Pottery,Rajasthan,268.88,660.42,6,88.69,14,high,1808.51
Bamboo Craft,Assam,202.78,127.14,1,69.21,20,medium,677.2
Bamboo Craft,Assam,297.11,243.31,3,33.27,20,low,760.31
Madhubani Painting,Bihar,230.54,760.36,8,81.71,16,high,2072.36
Madhubani Painting,Bihar,360.84,409.6,4,76.37,3,high,1387.5
Blue Pottery,Rajasthan,407.78,603.9,6,95.65,23,medium,1490.85
Bamboo Craft,Assam,224.18,402.91,3,31.51,16,low,819.52
Bamboo Craft,Assam,305.14,392.47,3,61.87,5,high,1126.27
Phulkari,Punjab,774.88,1571.65,11,67.28,33,medium,5172.14
Blue Pottery,Rajasthan,247.76,337.66,3,104.35,32,low,1130.16
Bamboo Craft,Assam,140.0,486.99,4,39.24,8,medium,922.35
Phulkari,Punjab,684.5,1519.27,9,48.06,13,medium,3387.06
Phulkari,Punjab,598.64,1735.75,14,55.78,10,high,4411.23
Madhubani Painting,Bihar,334.26,869.7,8,53.81,10,medium,2243.03
Phulkari,Punjab,793.95,2097.72,12,66.12,19,low,4491.96
Bamboo Craft,Assam,251.58,268.6,2,39.02,19,medium,810.23
Bamboo Craft,Assam,176.55,339.38,3,46.55,4,medium,852.76
Madhubani Painting,Bihar,481.68,1034.4,10,90.0,18,high,3012.76
Bamboo Craft,Assam,326.36,254.88,3,31.9,12,low,865.16
Madhubani Painting,Bihar,307.41,675.04,6,58.54,16,low,1688.89
Bamboo Craft,Assam,331.63,399.87,4,54.83,13,medium,1028.29
Blue Pottery,Rajasthan,442.93,665.98,6,48.1,16,medium,2144.82
Bamboo Craft,Assam,315.43,258.64,2,22.29,15,low,803.23
Bamboo Craft,Assam,283.09,143.67,1,36.34,10,high,823.26
Phulkari,Punjab,354.1,1447.47,9,73.55,9,high,3304.51
Phulkari,Punjab,486.95,2158.29,12,67.82,16,high,5791.0
Madhubani Painting,Bihar,431.62,650.61,7,87.32,28,medium,2227.1
Phulkari,Punjab,469.27,1120.45,7,83.63,15,medium,2985.5
Phulkari,Punjab,620.39,1649.73,10,58.0,6,medium,4041.04
Bamboo Craft,Assam,147.47,295.62,2,48.96,3,low,620.47
Phulkari,Punjab,817.55,1006.71,7,69.29,20,low,3199.81
Madhubani Painting,Bihar,400.93,1267.99,10,76.15,16,high,3137.34
Blue Pottery,Rajasthan,596.27,499.94,3,108.37,6,low,1568.12
Phulkari,Punjab,362.23,2013.02,14,74.14,6,high,4964.57
Blue Pottery,Rajasthan,324.76,929.39,6,81.69,13,high,2524.46
Madhubani Painting,Bihar,332.44,999.32,9,33.66,28,high,2558.06
Bamboo Craft,Assam,141.48,364.96,3,61.21,21,medium,806.06
Madhubani Painting,Bihar,235.66,354.48,3,44.06,17,low,1041.68
Phulkari,Punjab,859.11,1206.81,9,64.71,8,medium,4023.82
Phulkari,Punjab,340.42,742.92,6,74.84,21,medium,1972.61
Bamboo Craft,Assam,118.47,447.41,3,34.96,25,medium,879.04
Madhubani Painting,Bihar,330.24,449.35,4,57.99,14,low,1203.73
Bamboo Craft,Assam,285.49,210.99,2,23.5,11,medium,771.58
Blue Pottery,Rajasthan,517.52,302.51,3,106.43,18,high,1720.62
Blue Pottery,Rajasthan,564.61,568.32,4,40.68,14,medium,2426.11
Bamboo Craft,Assam,199.35,258.96,3,39.73,14,medium,795.97
Blue Pottery,Rajasthan,306.0,889.89,7,69.68,11,low,1944.3
Blue Pottery,Rajasthan,303.46,359.86,3,70.93,19,high,1641.83
Bamboo Craft,Assam,178.14,379.67,3,38.72,24,low,1014.79
Bamboo Craft,Assam,261.89,139.47,1,61.12,29,medium,863.46
Blue Pottery,Rajasthan,226.87,470.14,3,49.21,20,medium,1107.43
Madhubani Painting,Bihar,274.94,451.82,3,49.92,19,high,1542.35
Madhubani Painting,Bihar,317.36,1423.41,10,66.34,7,medium,2856.63
Bamboo Craft,Assam,150.29,323.79,3,53.58,4,medium,757.89
Bamboo Craft,Assam,279.94,346.5,3,53.34,10,medium,989.15
Phulkari,Punjab,477.86,1852.14,15,70.83,19,high,4925.54
Blue Pottery,Rajasthan,451.9,579.33,4,74.57,24,low,1869.74
Phulkari,Punjab,812.99,1644.8,11,76.71,22,low,4392.9
Blue Pottery,Rajasthan,587.11,491.25,4,62.42,16,high,1902.0
Madhubani Painting,Bihar,428.24,498.99,5,62.79,20,high,2217.08
Phulkari,Punjab,570.68,1543.43,11,41.01,10,medium,3621.16
Madhubani Painting,Bihar,472.54,723.42,8,82.19,8,low,1794.7
Bamboo Craft,Assam,199.85,299.63,2,26.92,3,high,757.51
Blue Pottery,Rajasthan,246.39,998.33,7,64.74,14,low,1913.36
Blue Pottery,Rajasthan,228.33,637.52,6,104.48,20,medium,1693.05
Blue Pottery,Rajasthan,348.99,918.59,7,116.84,6,medium,2428.27
Madhubani Painting,Bihar,473.45,1203.98,8,67.63,16,medium,2693.97
Bamboo Craft,Assam,169.47,294.01,2,36.83,17,high,869.97
Madhubani Painting,Bihar,246.14,343.91,3,34.45,13,medium,931.32
Bamboo Craft,Assam,293.12,135.74,1,48.3,23,medium,681.94
Blue Pottery,Rajasthan,429.13,715.87,7,88.19,31,low,1948.18
Bamboo Craft,Assam,260.0,255.85,2,62.14,15,low,723.7
Phulkari,Punjab,485.62,1293.05,8,66.59,21,low,2929.89
Madhubani Painting,Bihar,320.32,652.25,7,53.72,14,medium,1498.36
Bamboo Craft,Assam,241.84,86.0,1,44.3,25,high,624.69
Phulkari,Punjab,569.29,1728.19,15,97.75,14,low,3607.2
Phulkari,Punjab,762.56,2126.15,13,45.0,14,medium,5945.59
Madhubani Painting,Bihar,496.18,1522.48,10,38.05,9,high,3376.46
Madhubani Painting,Bihar,363.83,1331.0,9,60.92,23,low,2556.49
Blue Pottery,Rajasthan,588.87,435.33,4,73.87,22,high,2210.74
Bamboo Craft,Assam,212.07,347.78,3,25.45,1,low,777.56
Blue Pottery,Rajasthan,533.81,365.14,3,75.0,19,low,1679.95
Madhubani Painting,Bihar,433.68,1093.99,8,72.57,9,medium,2216.89
Phulkari,Punjab,684.17,1329.0,12,91.03,22,low,3749.61
Madhubani Painting,Bihar,497.46,780.22,6,40.17,12,medium,2089.14
Blue Pottery,Rajasthan,568.16,828.33,6,103.26,5,medium,2714.24
Bamboo Craft,Assam,267.62,484.46,4,56.33,22,high,1344.04
Blue Pottery,Rajasthan,405.77,328.47,3,100.01,12,medium,1452.2
Phulkari,Punjab,811.35,1661.12,10,58.76,14,high,4369.49
Madhubani Painting,Bihar,254.17,975.4,7,71.41,7,medium,2170.03
Phulkari,Punjab,741.47,1775.04,15,53.79,18,low,3706.66
Madhubani Painting,Bihar,200.49,1125.05,9,32.72,19,medium,2259.37
Madhubani Painting,Bihar,407.49,1262.42,10,84.81,23,high,3239.42
Madhubani Painting,Bihar,413.34,1063.8,10,44.35,26,high,2593.66
Blue Pottery,Rajasthan,518.39,401.79,4,72.8,15,high,2158.03
Phulkari,Punjab,489.44,1461.55,10,40.58,17,low,3335.17
Madhubani Painting,Bihar,434.02,560.49,4,86.62,19,high,2146.98
Madhubani Painting,Bihar,262.41,460.67,3,35.37,7,high,1363.8
Blue Pottery,Rajasthan,595.91,454.56,3,92.29,15,low,1879.76
Madhubani Painting,Bihar,168.79,956.25,9,34.56,7,medium,1840.42
Bamboo Craft,Assam,274.35,249.3,2,57.64,15,medium,861.36
Blue Pottery,Rajasthan,306.61,460.45,3,115.82,1,medium,1398.89
Madhubani Painting,Bihar,198.16,1079.52,7,58.35,20,medium,2028.66
Madhubani Painting,Bihar,470.02,895.24,8,32.74,22,low,1976.28
Madhubani Painting,Bihar,284.45,966.41,9,81.92,18,medium,2139.71
Blue Pottery,Rajasthan,398.32,795.82,7,48.56,9,medium,2373.82
Bamboo Craft,Assam,208.97,591.34,4,43.5,9,low,1060.02
Bamboo Craft,Assam,139.26,237.28,2,27.83,6,medium,537.46
Phulkari,Punjab,612.56,1667.75,12,51.03,26,medium,4999.47
Madhubani Painting,Bihar,381.78,1007.66,9,40.39,20,medium,2393.85
Blue Pottery,Rajasthan,565.58,694.3,6,59.86,20,high,2538.15
Madhubani Painting,Bihar,325.88,968.24,7,68.32,21,low,2212.08
Blue Pottery,Rajasthan,580.4,459.38,3,70.1,14,low,1812.76
Phulkari,Punjab,649.59,1075.37,7,70.65,20,high,4103.2
Blue Pottery,Rajasthan,593.56,544.48,4,84.15,11,medium,2279.71
Phulkari,Punjab,732.15,1887.19,12,68.74,6,medium,4094.42
Blue Pottery,Rajasthan,509.42,1074.6,7,79.17,15,medium,2822.28
Blue Pottery,Rajasthan,365.59,811.48,7,44.88,8,high,2430.19
Blue Pottery,Rajasthan,274.86,656.1,5,51.89,7,medium,1499.09
Blue Pottery,Rajasthan,560.18,1031.99,7,89.62,23,low,3250.92
Phulkari,Punjab,361.62,1965.69,13,50.02,17,medium,4357.31
Blue Pottery,Rajasthan,479.78,520.18,4,47.3,19,low,1739.03
Blue Pottery,Rajasthan,432.21,808.31,7,69.93,4,medium,1945.72
Bamboo Craft,Assam,238.55,273.83,2,31.65,16,medium,690.46
Blue Pottery,Rajasthan,355.31,422.43,3,119.58,17,high,1700.91
Blue Pottery,Rajasthan,462.45,565.93,5,81.38,15,high,2298.72
Blue Pottery,Rajasthan,596.94,643.22,5,85.55,21,medium,2340.92
Phulkari,Punjab,753.58,1584.61,14,90.9,9,medium,4659.56
Madhubani Painting,Bihar,326.0,444.59,3,61.09,13,high,1408.92
Madhubani Painting,Bihar,339.2,1286.03,9,38.4,26,medium,3067.96
Bamboo Craft,Assam,184.68,112.78,1,23.76,15,medium,472.09
Bamboo Craft,Assam,298.43,252.24,2,34.19,9,low,784.39
Phulkari,Punjab,673.68,975.22,7,93.92,5,medium,3149.76
Madhubani Painting,Bihar,156.0,1317.89,9,84.59,17,low,2163.03
Bamboo Craft,Assam,158.05,336.51,3,53.34,21,medium,812.46
Bamboo Craft,Assam,315.18,284.12,3,32.48,24,high,1144.94
Madhubani Painting,Bihar,375.63,532.2,4,60.42,6,high,1806.97
Phulkari,Punjab,854.62,1108.99,7,50.42,16,medium,3638.22
